education,hours-per-week,sex,age,race,workclass,Major_Group
Assoc-voc,54,Male,56,White,Self-emp-inc,Industrial Arts & Consumer Services
HS-grad,40,Male,32,White,Federal-gov,Other
HS-grad,30,Female,19,White,Private,Other
Some-college,35,Male,57,White,Self-emp-not-inc,Business
Less than HS,60,Male,55,White,Private,Other
Bachelors,50,Male,66,White,Private,Business
HS-grad,40,Male,26,Black,Private,Other
Assoc-voc,40,Male,58,White,Self-emp-inc,Industrial Arts & Consumer Services
Bachelors,55,Male,62,White,Private,Health
Bachelors,40,Male,31,Other,Private,Health
HS-grad,40,Male,25,White,Private,Other
Bachelors,56,Male,38,White,Private,Business
Bachelors,40,Female,33,White,Private,Business
Some-college,40,Female,51,Black,Federal-gov,Health
Assoc-voc,40,Male,20,White,Private,Industrial Arts & Consumer Services
HS-grad,40,Male,40,White,Federal-gov,Other
Less than HS,40,Male,20,White,Private,Other
Some-college,25,Female,41,White,Local-gov,Business
Less than HS,40,Female,44,White,Private,Other
HS-grad,40,Male,35,White,Private,Other
HS-grad,60,Male,35,White,Self-emp-not-inc,Other
Some-college,40,Female,46,Black,Federal-gov,Business
Some-college,17,Female,24,White,Private,Business
Some-college,40,Male,18,White,Private,Other
HS-grad,40,Male,37,White,Private,Other
Doctorate,8,Male,58,White,Private,Other
Assoc-voc,40,Male,55,White,Private,Industrial Arts & Consumer Services
HS-grad,30,Female,68,White,Private,Other
Bachelors,40,Male,41,White,Private,Health
Masters,50,Male,50,White,Private,Other
HS-grad,40,Male,48,White,Private,Other
HS-grad,40,Male,45,White,Private,Other
Some-college,40,Male,43,White,Private,Health
Some-college,35,Male,37,White,Private,Engineering
Bachelors,45,Male,43,White,Private,Business
HS-grad,40,Female,36,White,Private,Other
HS-grad,30,Male,60,Asian-Pac-Islander,Private,Other
HS-grad,50,Male,27,White,Private,Other
Bachelors,50,Male,36,White,Private,Business
Assoc-acdm,40,Male,47,White,State-gov,Industrial Arts & Consumer Services
Some-college,80,Male,33,White,Private,Engineering
Less than HS,20,Male,19,Black,State-gov,Other
Bachelors,35,Female,33,Asian-Pac-Islander,Private,Other
Bachelors,40,Male,34,White,Private,Health
HS-grad,40,Female,33,White,Private,Other
Some-college,48,Female,57,White,Private,Business
Masters,45,Female,59,White,Private,Other
HS-grad,40,Female,36,White,Private,Other
Assoc-acdm,40,Male,60,White,Private,Industrial Arts & Consumer Services
Assoc-voc,40,Male,33,White,Local-gov,Industrial Arts & Consumer Services
Bachelors,45,Female,41,White,Private,Health
Some-college,10,Male,20,White,Self-emp-not-inc,Health
Bachelors,50,Female,28,White,Local-gov,Health
Masters,20,Male,24,Asian-Pac-Islander,State-gov,Health
Less than HS,60,Male,31,Black,Private,Other
HS-grad,40,Female,38,White,Private,Other
Bachelors,45,Female,40,White,Private,Health
Bachelors,15,Male,55,White,State-gov,Health
HS-grad,50,Male,49,White,Private,Other
HS-grad,45,Male,33,White,Private,Other
Bachelors,35,Male,24,White,Local-gov,Health
Bachelors,48,Male,46,White,Private,Engineering
Some-college,20,Female,20,White,Private,Business
Less than HS,40,Male,50,White,Private,Other
HS-grad,40,Male,22,White,Private,Other
Some-college,35,Male,32,Black,Self-emp-inc,Other
HS-grad,65,Male,46,White,Private,Other
Some-college,62,Male,39,White,Private,Business
Some-college,15,Female,26,White,Private,Business
Some-college,14,Female,20,Black,Private,Business
Some-college,50,Male,37,White,Self-emp-inc,Business
Some-college,24,Female,40,White,Private,Business
Some-college,38,Female,22,White,Private,Other
Bachelors,40,Female,32,White,Private,Business
Some-college,50,Male,41,White,Private,Engineering
Assoc-acdm,40,Female,24,White,Private,Industrial Arts & Consumer Services
HS-grad,40,Male,40,White,Private,Other
Prof-school,39,Female,37,White,State-gov,Law & Public Policy
Masters,40,Male,42,White,Private,Other
Less than HS,40,Female,56,White,Private,Other
Some-college,50,Male,20,White,Private,Other
HS-grad,40,Male,55,White,Local-gov,Other
HS-grad,40,Male,29,White,Private,Other
HS-grad,40,Male,37,White,Private,Other
Bachelors,60,Male,61,White,Self-emp-not-inc,Other
Bachelors,38,Male,26,White,Private,Health
Some-college,55,Male,49,White,Self-emp-inc,Engineering
Less than HS,40,Male,18,White,Local-gov,Other
Less than HS,40,Male,30,Black,Private,Other
HS-grad,40,Male,24,White,State-gov,Other
HS-grad,40,Male,37,White,Private,Other
HS-grad,40,Female,37,White,Local-gov,Other
Some-college,65,Male,36,White,Private,Other
HS-grad,40,Male,40,White,Private,Other
HS-grad,55,Male,44,White,Self-emp-not-inc,Other
HS-grad,20,Male,43,White,Self-emp-not-inc,Other
Some-college,35,Female,19,White,Private,Other
Masters,40,Female,50,White,Private,Other
HS-grad,50,Female,39,Black,Private,Other
HS-grad,40,Male,43,White,Private,Other
HS-grad,40,Male,43,White,Private,Other
Masters,40,Male,40,White,Private,Health
Some-college,40,Male,31,White,State-gov,Engineering
Bachelors,40,Male,25,White,Private,Engineering
Bachelors,40,Male,30,White,Federal-gov,Health
Less than HS,40,Male,55,White,Private,Other
Less than HS,75,Male,55,White,Private,Other
Some-college,40,Male,29,Black,Private,Business
Bachelors,60,Male,28,White,Private,Business
HS-grad,40,Male,30,White,Private,Other
HS-grad,55,Male,33,White,Private,Other
HS-grad,40,Male,23,White,Private,Other
Less than HS,75,Female,71,White,Private,Other
Some-college,40,Female,21,White,Private,Business
HS-grad,40,Male,49,White,Private,Other
Assoc-acdm,20,Male,31,White,Private,Industrial Arts & Consumer Services
Assoc-acdm,40,Male,27,White,Private,Industrial Arts & Consumer Services
Masters,40,Male,27,Asian-Pac-Islander,Private,Health
Some-college,20,Male,26,White,Private,Other
Less than HS,30,Female,17,White,Private,Other
Some-college,50,Male,26,White,Private,Other
HS-grad,40,Female,45,White,Private,Other
HS-grad,40,Male,50,White,Private,Other
HS-grad,45,Male,31,White,Private,Other
Assoc-acdm,40,Female,51,White,Private,Industrial Arts & Consumer Services
Less than HS,40,Female,56,White,Private,Other
Bachelors,35,Male,24,White,State-gov,Other
Less than HS,40,Male,29,White,Private,Other
Some-college,24,Male,26,White,Private,Business
Some-college,45,Male,51,White,Private,Business
HS-grad,40,Male,32,White,Local-gov,Other
Bachelors,40,Male,47,White,State-gov,Business
HS-grad,40,Male,30,White,Private,Other
Some-college,40,Male,49,White,Federal-gov,Engineering
Some-college,40,Male,40,Amer-Indian-Eskimo,Private,Health
HS-grad,40,Male,62,White,Private,Other
Bachelors,60,Male,43,White,Self-emp-inc,Health
Less than HS,20,Male,76,White,Private,Other
Bachelors,50,Male,35,White,Private,Business
HS-grad,40,Female,27,White,Private,Other
Bachelors,40,Male,54,White,Self-emp-inc,Business
HS-grad,40,Male,55,White,Self-emp-not-inc,Other
Some-college,12,Male,21,White,Private,Business
Some-college,20,Male,20,White,Private,Other
HS-grad,20,Female,39,White,Private,Other
Bachelors,64,Male,26,White,Private,Health
HS-grad,42,Female,20,White,Private,Other
HS-grad,60,Male,28,White,Private,Other
Some-college,40,Male,56,Black,Federal-gov,Other
Less than HS,40,Male,39,White,Private,Other
Bachelors,40,Male,44,Asian-Pac-Islander,Federal-gov,Business
HS-grad,40,Male,55,White,Private,Other
HS-grad,40,Male,54,White,Self-emp-not-inc,Other
Bachelors,45,Male,30,White,Private,Health
HS-grad,57,Male,34,White,Local-gov,Other
HS-grad,38,Female,42,Black,Private,Other
Some-college,75,Female,50,White,Self-emp-inc,Business
Some-college,40,Male,34,Black,Federal-gov,Business
Assoc-voc,33,Male,23,White,Private,Industrial Arts & Consumer Services
Less than HS,40,Female,47,Black,Private,Other
Less than HS,40,Male,57,White,Private,Other
Masters,50,Male,33,Black,Private,Health
HS-grad,48,Female,37,White,Private,Other
Bachelors,40,Female,53,White,Private,Business
Bachelors,40,Female,27,White,State-gov,Business
HS-grad,50,Male,47,White,Private,Other
Assoc-acdm,50,Male,42,White,Private,Industrial Arts & Consumer Services
Some-college,40,Male,39,Black,Private,Health
Bachelors,40,Male,58,White,Local-gov,Business
HS-grad,24,Male,20,White,Private,Other
HS-grad,40,Male,19,White,Private,Other
HS-grad,35,Male,39,White,Private,Other
HS-grad,44,Male,51,White,Private,Other
HS-grad,40,Female,52,White,Private,Other
Some-college,50,Female,53,White,Private,Business
Some-college,40,Male,50,White,Private,Business
HS-grad,40,Male,36,White,Private,Other
Bachelors,72,Female,30,White,Private,Engineering
HS-grad,55,Male,50,White,Private,Other
Less than HS,40,Female,76,White,Private,Other
Bachelors,40,Male,46,White,Self-emp-not-inc,Business
Some-college,40,Male,24,Black,Private,Other
HS-grad,40,Male,26,White,Private,Other
Prof-school,50,Male,56,White,Self-emp-not-inc,Law & Public Policy
Bachelors,40,Male,50,White,Private,Health
Some-college,40,Male,22,White,Private,Engineering
Bachelors,35,Female,23,White,Local-gov,Health
HS-grad,50,Male,51,White,Private,Other
Less than HS,40,Male,58,White,Private,Other
Less than HS,24,Female,38,Black,Private,Other
Some-college,40,Male,45,White,Private,Other
HS-grad,40,Male,55,White,Self-emp-not-inc,Other
Some-college,60,Male,45,White,Private,Business
Some-college,45,Male,42,White,Private,Other
Bachelors,46,Male,44,White,State-gov,Business
Bachelors,50,Male,60,White,Private,Health
Some-college,40,Male,27,White,Private,Business
Some-college,40,Male,25,White,Local-gov,Business
HS-grad,50,Male,43,White,Private,Other
Assoc-voc,40,Male,44,White,Local-gov,Industrial Arts & Consumer Services
Less than HS,41,Female,63,White,Private,Other
Masters,43,Female,46,White,Local-gov,Health
Some-college,40,Male,47,White,Private,Business
Some-college,40,Male,37,Black,Private,Business
HS-grad,40,Female,43,Black,Private,Other
Masters,35,Male,46,White,Private,Health
Assoc-acdm,90,Female,61,White,Self-emp-not-inc,Industrial Arts & Consumer Services
HS-grad,40,Male,53,Black,Federal-gov,Other
HS-grad,30,Male,44,White,Private,Other
HS-grad,45,Male,54,White,Private,Other
Some-college,40,Female,22,White,Private,Health
HS-grad,50,Male,47,Black,Federal-gov,Other
HS-grad,20,Female,18,White,Private,Other
Less than HS,40,Male,25,White,Private,Other
Some-college,40,Female,24,White,Private,Business
Bachelors,40,Male,37,White,Local-gov,Business
Some-college,40,Female,51,White,Private,Business
HS-grad,60,Male,35,White,Self-emp-not-inc,Other
Some-college,34,Female,59,White,Private,Business
Some-college,40,Male,46,Asian-Pac-Islander,Private,Engineering
Assoc-voc,60,Male,45,White,Local-gov,Industrial Arts & Consumer Services
HS-grad,15,Male,19,White,Private,Other
HS-grad,28,Female,22,White,Private,Other
Bachelors,40,Male,41,White,Private,Engineering
HS-grad,40,Male,33,White,Self-emp-not-inc,Other
HS-grad,40,Female,26,Black,Federal-gov,Other
Some-college,35,Male,22,White,Private,Other
HS-grad,65,Male,29,White,Self-emp-not-inc,Other
HS-grad,39,Female,22,White,Private,Other
Assoc-acdm,10,Male,34,White,Private,Industrial Arts & Consumer Services
Less than HS,40,Male,23,White,Private,Other
HS-grad,50,Male,20,White,Private,Other
Bachelors,40,Female,25,Asian-Pac-Islander,Private,Health
HS-grad,40,Male,59,White,Private,Other
Some-college,55,Male,44,White,Private,Engineering
Some-college,40,Male,55,White,Private,Engineering
Some-college,1,Female,77,White,Self-emp-not-inc,Business
Masters,40,Male,42,White,Private,Other
HS-grad,40,Male,47,White,Private,Other
Some-college,40,Male,42,White,Private,Other
Some-college,40,Male,45,White,Private,Engineering
HS-grad,40,Male,23,White,Private,Other
Some-college,40,Male,23,White,Private,Engineering
HS-grad,40,Male,52,White,Private,Other
HS-grad,40,Male,49,White,Private,Other
Some-college,40,Male,20,White,Private,Engineering
HS-grad,20,Female,20,White,Private,Other
HS-grad,45,Female,23,White,Local-gov,Other
Some-college,65,Male,30,White,Private,Engineering
HS-grad,48,Male,45,White,Private,Other
Prof-school,35,Male,30,White,Private,Law & Public Policy
Less than HS,20,Female,17,White,Private,Other
HS-grad,40,Male,22,White,Private,Other
Bachelors,40,Male,25,White,Private,Other
Some-college,55,Male,52,White,Private,Business
Some-college,40,Female,40,White,Private,Engineering
HS-grad,45,Male,58,White,Private,Other
HS-grad,50,Male,30,White,Private,Other
Less than HS,40,Male,59,White,Private,Other
Some-college,30,Female,29,Black,Private,Other
Assoc-voc,40,Female,26,White,Private,Industrial Arts & Consumer Services
Bachelors,10,Female,39,Asian-Pac-Islander,Local-gov,Health
Bachelors,50,Male,33,White,Private,Business
Some-college,24,Male,22,White,Private,Business
Some-college,40,Male,25,White,Private,Engineering
Some-college,40,Female,44,Black,Private,Health
HS-grad,40,Female,35,White,Private,Other
HS-grad,40,Male,40,White,Private,Other
Less than HS,20,Female,19,White,Private,Other
HS-grad,35,Male,37,White,Private,Other
Assoc-voc,40,Male,32,White,Private,Industrial Arts & Consumer Services
HS-grad,65,Male,52,White,Self-emp-not-inc,Other
HS-grad,41,Male,36,White,Private,Other
Some-college,40,Female,38,White,Private,Engineering
Bachelors,39,Male,57,Black,State-gov,Other
Some-college,15,Female,22,White,State-gov,Business
Some-college,35,Female,20,White,Private,Business
Less than HS,36,Male,40,Black,Private,Other
Bachelors,50,Male,36,White,Self-emp-not-inc,Other
HS-grad,40,Female,27,White,Private,Other
HS-grad,50,Female,52,White,Private,Other
HS-grad,44,Female,43,White,Private,Other
HS-grad,40,Male,35,White,Private,Other
HS-grad,40,Male,29,Black,Private,Other
Some-college,40,Male,27,White,Private,Other
Masters,40,Male,49,White,Local-gov,Other
Some-college,30,Male,26,White,Self-emp-not-inc,Engineering
HS-grad,32,Male,47,White,Private,Other
Some-college,40,Female,20,White,Private,Business
HS-grad,40,Male,19,White,Private,Other
Masters,50,Male,34,White,Private,Health
HS-grad,40,Female,20,White,Private,Other
Less than HS,35,Male,23,White,Private,Other
Bachelors,40,Male,25,White,Private,Business
HS-grad,36,Male,21,White,Private,Other
HS-grad,40,Male,25,White,Private,Other
Some-college,32,Male,63,White,State-gov,Business
Bachelors,50,Female,25,White,Private,Engineering
HS-grad,40,Female,28,White,Private,Other
Masters,60,Male,39,White,Private,Health
Some-college,40,Female,28,White,Private,Engineering
Bachelors,45,Male,30,White,Private,Business
Assoc-voc,40,Female,41,White,Local-gov,Industrial Arts & Consumer Services
Assoc-acdm,30,Female,52,White,Local-gov,Industrial Arts & Consumer Services
HS-grad,40,Male,36,White,Private,Other
Bachelors,40,Male,47,White,Private,Business
Less than HS,50,Male,27,White,Private,Other
Some-college,40,Female,32,White,Federal-gov,Engineering
HS-grad,45,Male,52,White,Private,Other
HS-grad,70,Male,50,White,Private,Other
Some-college,30,Male,21,White,Private,Business
HS-grad,37,Female,60,White,Private,Other
Less than HS,36,Male,47,Amer-Indian-Eskimo,Private,Other
HS-grad,60,Male,54,White,Self-emp-not-inc,Other
Masters,50,Male,32,White,Local-gov,Health
Some-college,40,Male,61,White,Private,Business
HS-grad,40,Male,21,White,Private,Other
Some-college,45,Male,29,White,Self-emp-not-inc,Business
HS-grad,70,Female,36,Black,Local-gov,Other
HS-grad,20,Male,38,White,Local-gov,Other
Less than HS,52,Male,59,White,Private,Other
Some-college,40,Male,43,White,Private,Business
Less than HS,10,Male,19,White,Private,Other
Bachelors,40,Male,42,White,Private,Health
Some-college,45,Male,33,White,Private,Business
HS-grad,40,Female,47,Black,Private,Other
HS-grad,40,Male,51,White,Private,Other
Some-college,40,Male,28,White,Private,Business
Some-college,43,Female,61,White,Private,Business
Bachelors,60,Female,23,White,Private,Health
Less than HS,40,Male,31,White,Private,Other
Less than HS,55,Male,38,White,Self-emp-not-inc,Other
Less than HS,40,Male,21,White,Private,Other
HS-grad,50,Male,22,White,Private,Other
Masters,40,Male,35,White,Private,Health
Bachelors,48,Male,53,White,Federal-gov,Business
HS-grad,24,Female,40,White,Private,Other
HS-grad,50,Male,36,White,Private,Other
HS-grad,65,Male,33,White,Self-emp-not-inc,Other
HS-grad,50,Female,23,White,Private,Other
HS-grad,40,Male,51,White,Local-gov,Other
HS-grad,48,Male,31,White,Private,Other
HS-grad,40,Female,28,White,Local-gov,Other
Bachelors,40,Male,26,White,Self-emp-not-inc,Business
Bachelors,60,Male,32,Black,Private,Business
Bachelors,45,Male,43,White,Private,Health
HS-grad,50,Female,19,White,Private,Other
Less than HS,40,Female,46,Black,Private,Other
Doctorate,45,Male,49,White,Local-gov,Other
Less than HS,40,Female,31,White,Private,Other
Bachelors,40,Male,45,White,Private,Business
Less than HS,40,Male,41,White,Private,Other
Some-college,15,Female,22,White,Private,Other
Bachelors,40,Female,25,White,Private,Health
Prof-school,50,Male,46,White,Private,Law & Public Policy
Some-college,40,Male,44,White,Self-emp-not-inc,Engineering
HS-grad,40,Male,25,White,Private,Other
Bachelors,40,Male,30,White,Private,Business
Bachelors,60,Male,54,White,Private,Business
Bachelors,45,Male,34,White,Private,Engineering
Bachelors,55,Male,30,White,Private,Health
Assoc-voc,60,Female,21,White,Private,Industrial Arts & Consumer Services
Bachelors,40,Female,27,White,Private,Health
Some-college,40,Male,29,White,Private,Engineering
Some-college,40,Male,60,White,Self-emp-inc,Business
Masters,70,Male,36,White,Self-emp-not-inc,Other
Masters,40,Female,27,White,Private,Other
Some-college,48,Male,57,White,Self-emp-not-inc,Other
Less than HS,5,Female,24,Asian-Pac-Islander,Private,Other
Some-college,22,Male,63,White,Private,Engineering
Bachelors,40,Male,29,White,Private,Business
Bachelors,40,Male,34,White,Private,Business
HS-grad,40,Male,27,White,Private,Other
Assoc-voc,40,Female,31,White,Private,Industrial Arts & Consumer Services
Bachelors,40,Male,31,White,Private,Engineering
Some-college,20,Female,55,White,Private,Business
HS-grad,99,Male,64,White,Local-gov,Other
HS-grad,35,Female,20,Black,Private,Other
HS-grad,60,Male,44,White,Self-emp-not-inc,Other
Less than HS,50,Male,35,White,Private,Other
Some-college,40,Female,41,White,Local-gov,Business
Some-college,40,Female,38,Black,Private,Business
Bachelors,45,Male,64,White,State-gov,Engineering
Less than HS,40,Male,42,Black,Private,Other
Some-college,50,Male,31,White,Private,Business
Assoc-acdm,50,Male,42,White,Self-emp-not-inc,Industrial Arts & Consumer Services
Assoc-acdm,35,Female,35,White,Private,Industrial Arts & Consumer Services
Some-college,40,Female,36,Black,Federal-gov,Business
Less than HS,30,Male,23,White,Private,Other
Some-college,14,Male,20,White,Private,Business
Bachelors,40,Female,26,Black,Local-gov,Health
Bachelors,65,Male,56,Black,Federal-gov,Other
Assoc-acdm,40,Female,40,White,Private,Industrial Arts & Consumer Services
Less than HS,24,Male,19,White,Private,Other
HS-grad,40,Female,33,Black,Private,Other
Assoc-acdm,40,Male,45,White,Federal-gov,Industrial Arts & Consumer Services
HS-grad,43,Male,41,White,Private,Other
HS-grad,40,Male,29,White,Private,Other
Masters,45,Female,46,White,Local-gov,Health
Assoc-acdm,45,Male,48,White,Private,Industrial Arts & Consumer Services
HS-grad,45,Male,38,White,Private,Other
Some-college,40,Female,29,Black,Private,Business
HS-grad,40,Male,35,White,Private,Other
Bachelors,30,Male,59,Black,Local-gov,Business
HS-grad,40,Male,27,White,Private,Other
Some-college,40,Male,43,White,Private,Other
Bachelors,20,Male,70,White,Private,Business
HS-grad,45,Male,30,White,Private,Other
Some-college,40,Male,24,White,Private,Other
HS-grad,15,Male,76,White,Local-gov,Other
HS-grad,40,Male,25,White,Private,Other
Assoc-acdm,56,Female,39,White,Private,Industrial Arts & Consumer Services
Bachelors,40,Female,36,Black,Local-gov,Health
Less than HS,40,Female,23,White,Private,Other
Less than HS,40,Female,60,White,Private,Other
Less than HS,40,Male,54,Black,Private,Other
Some-college,40,Female,20,White,Private,Business
HS-grad,40,Male,22,White,Federal-gov,Other
Bachelors,20,Female,24,White,Private,Health
HS-grad,40,Male,41,White,Private,Other
Some-college,40,Male,35,White,Private,Engineering
Less than HS,55,Male,23,White,Private,Other
Doctorate,50,Male,54,White,State-gov,Other
Less than HS,16,Male,17,White,Private,Other
HS-grad,40,Female,43,White,Private,Other
Less than HS,42,Male,33,White,Private,Other
Some-college,40,Male,38,White,Federal-gov,Business
HS-grad,45,Male,54,Black,Self-emp-not-inc,Other
HS-grad,52,Female,39,Black,Private,Other
Some-college,40,Male,32,Amer-Indian-Eskimo,Private,Engineering
Less than HS,40,Male,61,White,Local-gov,Other
Bachelors,40,Male,22,White,Private,Business
HS-grad,40,Male,34,White,Private,Other
Less than HS,20,Female,18,Black,Private,Other
HS-grad,25,Male,20,White,Private,Other
HS-grad,40,Male,53,White,Federal-gov,Other
Some-college,40,Female,32,White,Private,Business
Some-college,30,Male,68,White,Self-emp-not-inc,Other
Some-college,15,Female,28,White,Private,Other
Some-college,40,Male,28,White,Private,Other
Some-college,56,Male,54,Black,Private,Health
Some-college,40,Male,25,White,Private,Engineering
Masters,50,Male,30,Asian-Pac-Islander,Private,Health
Some-college,32,Male,33,White,Private,Other
Bachelors,40,Female,49,Asian-Pac-Islander,Private,Engineering
Less than HS,30,Female,58,Other,Private,Other
Assoc-voc,24,Male,45,White,Private,Industrial Arts & Consumer Services
Less than HS,40,Male,67,Black,Private,Other
HS-grad,40,Male,69,White,Self-emp-inc,Other
HS-grad,40,Female,61,White,Private,Other
Some-college,40,Male,34,White,Private,Engineering
Some-college,45,Male,28,White,Private,Engineering
HS-grad,34,Female,19,White,Private,Other
Some-college,40,Male,31,White,Self-emp-not-inc,Engineering
Some-college,40,Male,32,White,Federal-gov,Business
Assoc-acdm,60,Female,53,White,Private,Industrial Arts & Consumer Services
HS-grad,37,Female,46,White,Private,Other
Less than HS,40,Male,43,White,Self-emp-not-inc,Other
Some-college,99,Male,39,White,Private,Other
Less than HS,40,Male,59,White,Private,Other
Some-college,38,Female,19,White,Private,Business
Some-college,40,Male,40,White,Private,Other
Less than HS,50,Male,63,White,Self-emp-inc,Other
Some-college,40,Female,46,White,Private,Business
Less than HS,40,Male,22,White,Private,Other
Assoc-acdm,45,Male,36,White,Private,Industrial Arts & Consumer Services
Some-college,40,Male,57,White,Private,Engineering
HS-grad,25,Male,58,White,Private,Other
Some-college,35,Male,59,White,Private,Other
HS-grad,45,Male,36,White,Private,Other
Masters,45,Male,29,White,Private,Other
Bachelors,45,Male,49,White,Self-emp-inc,Health
Assoc-acdm,55,Male,42,White,Private,Industrial Arts & Consumer Services
Some-college,17,Male,43,White,Local-gov,Other
HS-grad,40,Male,46,White,Private,Other
Some-college,12,Female,43,White,Local-gov,Business
Assoc-acdm,40,Female,40,White,Private,Industrial Arts & Consumer Services
Less than HS,40,Male,43,White,Private,Other
HS-grad,32,Female,48,White,Private,Other
HS-grad,28,Male,26,Black,Private,Other
Assoc-voc,35,Female,30,White,Private,Industrial Arts & Consumer Services
Some-college,40,Male,58,White,Private,Business
HS-grad,40,Male,43,Black,Private,Other
HS-grad,40,Male,53,Black,Local-gov,Other
Some-college,16,Male,74,White,State-gov,Business
Bachelors,40,Male,45,White,Private,Health
Less than HS,10,Female,32,White,State-gov,Other
Some-college,40,Female,38,White,Private,Business
Bachelors,40,Male,42,White,Self-emp-not-inc,Business
Some-college,40,Male,24,Other,Local-gov,Business
HS-grad,35,Male,63,White,Private,Other
Some-college,35,Female,25,Black,Local-gov,Business
Some-college,40,Male,37,Black,Private,Engineering
HS-grad,40,Male,28,White,Self-emp-not-inc,Other
Some-college,40,Male,31,White,Private,Other
Prof-school,50,Male,46,White,Private,Law & Public Policy
Bachelors,44,Male,44,White,Private,Business
Masters,40,Female,42,White,Local-gov,Health
Doctorate,40,Male,45,White,Private,Other
Bachelors,60,Male,52,White,Private,Business
Bachelors,40,Male,40,White,Private,Business
HS-grad,40,Male,26,White,Private,Other
Less than HS,14,Female,17,White,Private,Other
Some-college,40,Male,27,White,Private,Other
Some-college,50,Male,71,White,Self-emp-inc,Business
Bachelors,50,Male,35,White,Private,Health
Less than HS,16,Male,17,White,Private,Other
HS-grad,52,Male,26,White,Private,Other
Some-college,35,Female,22,White,Private,Other
Bachelors,60,Male,51,White,Private,Business
Some-college,40,Male,33,White,Private,Engineering
Assoc-acdm,50,Male,41,Black,Local-gov,Industrial Arts & Consumer Services
Masters,50,Male,50,White,Private,Other
HS-grad,40,Female,26,White,Private,Other
HS-grad,40,Female,21,Black,Private,Other
HS-grad,40,Male,53,White,Private,Other
HS-grad,40,Male,32,White,Self-emp-inc,Other
Some-college,20,Female,19,White,Private,Business
Bachelors,35,Female,22,White,Private,Business
HS-grad,60,Male,58,White,Private,Other
Bachelors,60,Male,47,White,Federal-gov,Business
Some-college,45,Male,51,White,Self-emp-inc,Business
Bachelors,48,Male,42,White,State-gov,Business
Bachelors,40,Male,28,White,Private,Business
HS-grad,35,Female,29,Asian-Pac-Islander,Private,Other
HS-grad,50,Male,50,White,Private,Other
Some-college,30,Female,22,White,Private,Other
Some-college,45,Female,47,White,Self-emp-not-inc,Other
Some-college,27,Female,60,White,Private,Business
HS-grad,40,Female,46,White,Self-emp-not-inc,Other
Bachelors,60,Male,58,White,Self-emp-inc,Health
Some-college,40,Female,62,White,Private,Business
HS-grad,40,Female,59,White,Private,Other
HS-grad,40,Female,41,White,Private,Other
HS-grad,37,Female,31,White,Private,Other
HS-grad,40,Female,18,White,Private,Other
HS-grad,50,Male,64,White,Self-emp-not-inc,Other
HS-grad,65,Male,51,White,Self-emp-not-inc,Other
Bachelors,35,Male,47,White,Self-emp-not-inc,Business
Bachelors,35,Male,68,White,Private,Business
HS-grad,40,Female,32,Other,Private,Other
Less than HS,43,Male,39,White,Private,Other
Assoc-acdm,48,Female,37,White,Private,Industrial Arts & Consumer Services
HS-grad,40,Female,29,White,Private,Other
HS-grad,40,Male,44,Other,Private,Other
Prof-school,40,Male,46,White,Private,Law & Public Policy
Less than HS,40,Male,40,White,Self-emp-not-inc,Other
Bachelors,40,Female,52,White,Local-gov,Business
Bachelors,40,Male,40,White,Private,Business
Less than HS,40,Male,61,White,Private,Other
HS-grad,50,Male,30,White,Private,Other
Less than HS,40,Male,61,White,Self-emp-not-inc,Other
Assoc-voc,84,Male,33,White,Private,Industrial Arts & Consumer Services
Bachelors,65,Male,32,White,Local-gov,Health
Assoc-acdm,40,Female,32,White,Private,Industrial Arts & Consumer Services
Bachelors,35,Male,32,White,Self-emp-not-inc,Health
HS-grad,40,Male,37,White,Private,Other
Less than HS,45,Male,53,White,Private,Other
Masters,40,Male,51,White,Self-emp-inc,Other
Assoc-voc,45,Male,29,Black,Private,Industrial Arts & Consumer Services
HS-grad,40,Male,48,White,Private,Other
HS-grad,40,Male,69,White,Private,Other
Masters,40,Female,28,White,Private,Other
Bachelors,40,Female,55,White,Local-gov,Health
Assoc-voc,40,Male,45,White,Private,Industrial Arts & Consumer Services
Some-college,20,Female,18,White,Private,Other
Less than HS,40,Male,60,White,Private,Other
Some-college,10,Male,19,White,Private,Business
Less than HS,25,Male,18,White,Private,Other
Some-college,40,Male,33,White,Private,Other
Some-college,40,Female,33,White,Private,Engineering
Masters,45,Female,29,White,Private,Health
Some-college,45,Male,37,White,Private,Business
HS-grad,50,Male,50,White,Private,Other
Less than HS,35,Female,28,White,Private,Other
Some-college,35,Female,23,White,Private,Other
Less than HS,40,Male,47,White,Private,Other
Some-college,35,Male,21,White,Private,Engineering
Some-college,12,Female,19,White,Private,Other
Bachelors,50,Female,47,White,Local-gov,Health
Masters,40,Male,36,White,Federal-gov,Health
Bachelors,60,Male,62,White,Self-emp-inc,Other
HS-grad,40,Male,65,White,Private,Other
Prof-school,45,Male,46,White,Self-emp-not-inc,Law & Public Policy
Less than HS,40,Male,35,White,Private,Other
Less than HS,40,Male,50,White,Private,Other
Some-college,6,Female,20,White,Private,Business
Less than HS,16,Female,17,White,Private,Other
Some-college,40,Male,33,White,Private,Engineering
Bachelors,50,Male,53,White,Self-emp-not-inc,Health
Bachelors,40,Male,47,White,Self-emp-inc,Business
Masters,35,Male,62,White,Self-emp-inc,Other
HS-grad,40,Male,35,Black,Private,Other
Bachelors,43,Female,27,White,Private,Business
